姓名,性别,出生年月,籍贯,学历|学位,领导级别,链接,信息来源
﻿牛俊雁,男,1962年01月,山西大同,硕士,内蒙古自治区鄂尔多斯市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15465.htm,人民网
﻿龚明珠,男,1966年10月,内蒙古奈曼旗,硕士,内蒙古自治区鄂尔多斯市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16375.htm,人民网
﻿秦义,男,1963年09月,内蒙古赤峰,学士,内蒙古自治区呼伦贝尔市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4126.htm,人民网
﻿于立新,男,1965年11月,内蒙古赤峰,,内蒙古自治区呼伦贝尔市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15854.htm,人民网
﻿段志强,男,1962年07月,内蒙古扎赉特旗,研究生,内蒙古自治区巴彦淖尔市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4140.htm,人民网
﻿张晓兵,男,1971年11月,山东莱阳,博士,内蒙古自治区巴彦淖尔市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16168.htm,人民网
﻿费东斌,男,1970年08月,辽宁锦州,学士,内蒙古自治区乌兰察布市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16200.htm,人民网
﻿张恩惠,男,1967年12月,内蒙古托克托,,内蒙古自治区兴安盟委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15533.htm,人民网
﻿奇巴图,男,1971年09月,内蒙古准格尔旗,硕士,内蒙古自治区兴安盟盟长,http://ldzl.people.com.cn/dfzlk/front/personPage15572.htm,人民网
﻿罗虎在,男,1962年05月,内蒙古卓资县,研究生,内蒙古自治区锡林郭勒盟委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15531.htm,人民网
﻿付万惠,男,1960年02月,内蒙古包头,本科,内蒙古自治区锡林郭勒盟盟长,http://ldzl.people.com.cn/dfzlk/front/personPage12271.htm,人民网
﻿包钢,男,1969年05月,辽宁阜新,硕士,内蒙古自治区阿拉善盟委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4130.htm,人民网
﻿冯玉臻,男,1963年07月,内蒙古和林格尔,研究生,内蒙古自治区阿拉善盟盟长,http://ldzl.people.com.cn/dfzlk/front/personPage4148.htm,人民网
﻿刘国中,男,1962年07月,黑龙江望奎,,吉林省委副书记，省长,http://ldzl.people.com.cn/dfzlk/front/personPage15511.htm,人民网
﻿黄燕明,男,1955年01月,北京,硕士,吉林省政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4985.htm,人民网
﻿金振吉,男,1959年02月,吉林延吉,博士,吉林省委常委、省委政法委书记，省政协副主席,http://ldzl.people.com.cn/dfzlk/front/personPage5706.htm,人民网
﻿张安顺,男,1965年04月,山东平阴,硕士,吉林省委常委、省委秘书长、工委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4193.htm,人民网
﻿庄严,男,1967年08月,吉林农安,研究生,吉林省委常委，延边朝鲜族自治州党委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5714.htm,人民网
﻿王君正,男,1963年05月,山东临沂,博士,吉林省委常委、长春市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4448.htm,人民网
﻿高福平,男,1964年05月,,研究生,吉林省委常委,http://ldzl.people.com.cn/dfzlk/front/personPage4189.htm,人民网
﻿苗雨丰,男,1959年04月,吉林长春,本科,吉林省委常委、省军区司令员,http://ldzl.people.com.cn/dfzlk/front/personPage15361.htm,人民网
﻿姜治莹,男,1961年03月,吉林敦化,博士,吉林省委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage4178.htm,人民网
﻿陶治国,男,,,,吉林省委常委、省纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16608.htm,人民网
﻿王凯,男,1962年07月,河南洛阳,博士,吉林省委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage4565.htm,人民网
﻿王晓萍,女,1964年03月,湖北黄冈,硕士,吉林省委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage16623.htm,人民网
﻿隋忠诚,男,1967年05月,吉林长春,博士,吉林省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage5719.htm,人民网
﻿胡家福,男,1967年10月,山东昌乐,学士,吉林省副省长、省公安厅厅长,http://ldzl.people.com.cn/dfzlk/front/personPage15042.htm,人民网
﻿李晋修,男,1962年07月,吉林德惠,硕士,吉林省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage4191.htm,人民网
﻿金育辉,男,1966年01月,吉林榆树,博士,吉林省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage4184.htm,人民网
﻿刘长龙,男,1963年08月,,硕士,吉林省长春市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16144.htm,人民网
﻿赵静波,男,1964年10月,辽宁凤城,博士,吉林省吉林市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4180.htm,人民网
﻿赵晓君,男,1961年02月,,,吉林省四平市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15209.htm,人民网
﻿韩福春,男,1965年02月,,,吉林省四平市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16253.htm,人民网
﻿吴兰,女,1967年09月,,博士,吉林省辽源市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4183.htm,人民网
﻿王立平,男,1967年07月,,研究生,吉林省辽源市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12441.htm,人民网
﻿刘化文,男,1969年10月,吉林农安,硕士,吉林省通化市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16219.htm,人民网
﻿张志军,男,1964年07月,,研究生,吉林省白山市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15119.htm,人民网
﻿王志厚,男,1963年10月,吉林永吉,硕士,吉林省白山市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16220.htm,人民网
﻿李相国,男,1962年11月,吉林九台,,吉林省松原市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4190.htm,人民网
﻿高材林,男,1964年02月,湖南汉寿,博士,吉林省松原市市长,http://ldzl.people.com.cn/dfzlk/front/personPage14903.htm,人民网
﻿庞庆波,男,1960年02月,,研究生,吉林省白城市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12086.htm,人民网
﻿李明伟,男,1968年10月,,研究生,吉林省白城市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15419.htm,人民网
﻿李景浩,男,1961年07月,吉林安图,研究生,吉林省延边朝鲜族自治州州长,http://ldzl.people.com.cn/dfzlk/front/personPage4194.htm,人民网
﻿张庆伟,男,1961年11月,河北乐亭,博士,黑龙江省委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4886.htm,人民网
﻿王宪魁,男,1952年07月,河北沧县,硕士,黑龙江省人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage4902.htm,人民网
﻿陆昊,男,1967年06月,上海,硕士,黑龙江省委副书记、省长,http://ldzl.people.com.cn/dfzlk/front/personPage4903.htm,人民网
﻿杜宇新,男,1953年12月,黑龙江林口,硕士,黑龙江省政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4904.htm,人民网
﻿黄建盛,男,1957年09月,江西东乡,硕士,黑龙江省委副书记、省政协副主席,http://ldzl.people.com.cn/dfzlk/front/personPage5724.htm,人民网
﻿张效廉,男,1964年04月,山东梁山,博士,黑龙江省委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage5725.htm,人民网
﻿陈海波,男,1962年09月,吉林镇赉,硕士,黑龙江省委常委、哈尔滨市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4150.htm,人民网
﻿王常松,男,1962年07月,安徽无为,,黑龙江省委常委、纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15671.htm,人民网
﻿李海涛,男,1963年09月,黑龙江巴彦,硕士,黑龙江省委常委、副省长,http://ldzl.people.com.cn/dfzlk/front/personPage5731.htm,人民网
﻿李雷,男,1958年07月,辽宁开原,,黑龙江省委常委、省军区司令员,http://ldzl.people.com.cn/dfzlk/front/personPage15523.htm,人民网
﻿孙尧,男,1963年11月,天津,博士,黑龙江省委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage5732.htm,人民网
﻿甘荣坤,男,1962年05月,江西彭泽,学士,黑龙江省委常委、政法委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6257.htm,人民网
﻿王爱文,男,1962年10月,河北康保,硕士,黑龙江省委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage4209.htm,人民网
﻿张雨浦,男,1962年08月,山东长清,硕士,黑龙江省委常委、省委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage4201.htm,人民网
﻿郝会龙,男,1962年11月,甘肃临洮,学士,黑龙江省委常委、常务副省长,http://ldzl.people.com.cn/dfzlk/front/personPage5729.htm,人民网
﻿吕维峰,男,1958年02月,山东泗水,硕士,黑龙江省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage5733.htm,人民网
﻿孙东生,男,1964年06月,河南浚县,博士,黑龙江省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage5736.htm,人民网
﻿胡亚枫,男,1958年10月,山东曹县,学士,黑龙江省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage5737.htm,人民网
﻿宋希斌,男,1963年04月,山东蓬莱,硕士,黑龙江省哈尔滨市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4196.htm,人民网
﻿孙珅,男,1963年04月,黑龙江肇东,博士,黑龙江省齐齐哈尔市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12756.htm,人民网
﻿康志文,男,1958年08月,辽宁奉城,研究生,黑龙江省鸡西市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4200.htm,人民网
﻿张常荣,男,1963年08月,黑龙江宾县,硕士,黑龙江省鸡西市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12247.htm,人民网
﻿张恩亮,男,1970年01月,黑龙江望奎,硕士,黑龙江省鹤岗市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4218.htm,人民网
﻿王秋实,男,1965年09月,吉林德惠,硕士,黑龙江省鹤岗市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16185.htm,人民网
﻿孙喆,男,1963年10月,山东龙口,博士,黑龙江省双鸭山市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4212.htm,人民网
﻿韩立华,男,1963年11月,黑龙江兰西,博士,黑龙江省大庆市委书记、市长,http://ldzl.people.com.cn/dfzlk/front/personPage4214.htm,人民网
﻿高环,女,1965年01月,黑龙江讷河,博士,黑龙江省伊春市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4210.htm,人民网
﻿韩库,男,1963年09月,,,黑龙江省伊春市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16257.htm,人民网
﻿林宽海,男,1965年10月,江苏高邮,硕士,黑龙江省佳木斯市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4216.htm,人民网
﻿郭冀平,男,1963年08月,河北故城,硕士,黑龙江省佳木斯市市长,http://ldzl.people.com.cn/dfzlk/front/personPage7939.htm,人民网
﻿马志勇,男,1966年09月,吉林东丰,硕士,黑龙江省七台河市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12785.htm,人民网
﻿徐建国,男,1965年10月,江苏如皋,博士,黑龙江省七台河市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16132.htm,人民网
﻿刘忻,男,1965年01月,陕西西安,博士,黑龙江省牡丹江市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4997.htm,人民网
﻿高岩,男,1965年01月,河北丰润,硕士,黑龙江省牡丹江市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16274.htm,人民网
﻿秦恩亭,男,1961年02月,,本科,黑龙江省黑河市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15510.htm,人民网
﻿谢宝禄,男,1963年03月,山东平原,硕士,黑龙江省黑河市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16408.htm,人民网
﻿曲敏,男,1963年06月,黑龙江尚志,硕士,黑龙江省绥化市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15514.htm,人民网
﻿张子林,男,1963年08月,,硕士,黑龙江省绥化市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16382.htm,人民网
﻿苏春雨,男,1962年05月,内蒙古兴和,博士,黑龙江省大兴安岭地区行署专员,http://ldzl.people.com.cn/dfzlk/front/personPage16184.htm,人民网
﻿李强,男,1959年07月,浙江瑞安,硕士,江苏省委书记、省人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage4912.htm,人民网
﻿石泰峰,男,1956年09月,山西榆社,硕士,江苏省委副书记、省长,http://ldzl.people.com.cn/dfzlk/front/personPage5033.htm,人民网
﻿蒋定之,男,1954年09月,江苏溧阳,硕士,江苏省政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4943.htm,人民网
﻿吴政隆,男,1964年11月,江苏南京,学士,江苏省委副书记、南京市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6331.htm,人民网
﻿黄莉新,女,1962年08月,江苏宿迁,博士,江苏省委常委、常务副省长,http://ldzl.people.com.cn/dfzlk/front/personPage4256.htm,人民网
﻿李小敏,男,1959年05月,山东莱阳,博士,江苏省委常委，无锡市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5948.htm,人民网
﻿王炯,男,1964年09月,河南淮滨,硕士,江苏省委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage5924.htm,人民网
﻿樊金龙,男,1963年11月,江苏太仓,硕士,江苏省委常委、省委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage5950.htm,人民网
﻿蒋卓庆,男,1959年08月,浙江慈溪,学士,江苏省委常委、省纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5809.htm,人民网
﻿王立科,男,1964年12月,山东蓬莱,硕士,江苏省委常委、省委政法委书记，省公安厅厅长,http://ldzl.people.com.cn/dfzlk/front/personPage5968.htm,人民网
﻿周乃翔,男,1961年12月,江苏宜兴,研究生,江苏省委常委、苏州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4263.htm,人民网
﻿张敬华,男,1962年07月,江苏泰州,学士,江苏省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage15561.htm,人民网
﻿马秋林,男,1960年07月,,博士,江苏省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage15632.htm,人民网
﻿陈震宁,男,1958年10月,江苏阜宁,硕士,江苏省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage16258.htm,人民网
﻿蓝绍敏,男,1964年01月,广东大埔,博士,江苏省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage4278.htm,人民网
﻿缪瑞林,男,1964年11月,江苏如东,博士,江苏省南京市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4998.htm,人民网
﻿汪泉,男,1960年07月,安徽黟县,博士,江苏省无锡市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4257.htm,人民网
﻿张国华,男,1964年11月,江苏吴江,学士,江苏省徐州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4265.htm,人民网
﻿丁纯,男,1970年10月,江苏江阴,硕士,江苏省常州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16424.htm,人民网
﻿李亚平,男,1963年01月,江苏丹阳,博士,江苏省苏州市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage16617.htm,人民网
﻿陆志鹏,男,1964年10月,河南孟津,博士,江苏省南通市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4277.htm,人民网
﻿韩立明,女,1964年09月,江苏常州,研究生,江苏省南通市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15461.htm,人民网
﻿杨省世,男,1965年01月,陕西户县,博士,江苏省连云港市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4274.htm,人民网
﻿项雪龙,男,1963年12月,江苏江阴,学士,江苏省连云港市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15413.htm,人民网
﻿姚晓东,男,1962年04月,江苏镇江,博士,江苏省淮安市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4268.htm,人民网
﻿蔡丽新,女,1971年10月,江苏无锡,博士,江苏省淮安市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage16603.htm,人民网
﻿王荣平,男,1961年05月,江苏高邮,硕士,江苏省盐城市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5040.htm,人民网
﻿戴源,男,1962年01月,安徽天长,学士,江苏省盐城市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16133.htm,人民网
﻿谢正义,男,1968年08月,江苏泰兴,硕士,江苏省扬州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4272.htm,人民网
﻿张爱军,男,1964年02月,江苏如东,硕士,江苏省扬州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16134.htm,人民网
﻿惠建林,男,1964年02月,江苏苏州,学士,江苏省镇江市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5152.htm,人民网
﻿张叶飞,男,1966年11月,江苏江阴,,江苏省镇江市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage16390.htm,人民网
﻿曲福田,男,1962年08月,山东莱州,博士,江苏省泰州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4269.htm,人民网
﻿史立军,男,1963年10月,黑龙江肇东,博士,江苏省泰州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15439.htm,人民网
﻿魏国强,男,1964年11月,江苏丹阳,学士,江苏省宿迁市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4271.htm,人民网
﻿王天琦,男,1968年05月,安徽萧县,硕士,江苏省宿迁市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4279.htm,人民网
﻿夏宝龙,男,1952年12月,天津,博士,浙江省委书记、省人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage4986.htm,人民网
﻿车俊,男,1955年07月,安徽巢湖,本科,浙江省委副书记、省长,http://ldzl.people.com.cn/dfzlk/front/personPage6707.htm,人民网
﻿乔传秀,女,1954年01月,安徽寿县,硕士,浙江省政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4913.htm,人民网
﻿袁家军,男,1962年09月,吉林通化,博士,浙江省委副书记、省委政法委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6028.htm,人民网
﻿任泽民,男,1954年05月,贵州贵阳,学士,浙江省委常委、省纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6013.htm,人民网
﻿葛慧君,女,1963年03月,浙江诸暨,研究生,浙江省委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage6020.htm,人民网
﻿王新海,男,1958年01月,江苏连云港,本科,浙江省委常委、省军区政委,http://ldzl.people.com.cn/dfzlk/front/personPage6026.htm,人民网
﻿赵一德,男,1965年02月,浙江温岭,研究生,浙江省委常委、杭州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6027.htm,人民网
﻿陈金彪,男,1963年04月,浙江诸暨,研究生,浙江省委常委、省委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage4285.htm,人民网
﻿唐一军,男,1961年03月,山东莒县,研究生,浙江省委常委，宁波市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15608.htm,人民网
﻿徐加爱,男,1966年09月,湖南衡阳,研究生,浙江省委常委，省公安厅党委书记、厅长,http://ldzl.people.com.cn/dfzlk/front/personPage4292.htm,人民网
﻿任振鹤,男,1964年02月,湖北鹤峰,学士,浙江省委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage4464.htm,人民网
﻿熊建平,男,1960年08月,江西丰城,硕士,浙江省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6032.htm,人民网
﻿朱从玖,男,1965年03月,安徽肥西,硕士,浙江省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6040.htm,人民网
﻿梁黎明,女,1961年01月,浙江新昌,硕士,浙江省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6041.htm,人民网
﻿孙景淼,男,1958年03月,浙江杭州,研究生,浙江省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage4296.htm,人民网
﻿冯飞,男,1962年12月,江西都昌,博士,浙江省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage15978.htm,人民网
﻿高兴夫,男,1963年08月,,博士,浙江省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage15979.htm,人民网
﻿成岳冲,男,1962年10月,浙江慈溪,硕士,浙江省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage16399.htm,人民网
﻿裘东耀,男,1961年08月,浙江嵊州,本科,浙江省宁波市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage12440.htm,人民网
﻿周江勇,男,1967年09月,浙江宁波,研究生,浙江省温州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4297.htm,人民网
﻿张耕,男,1965年04月,河南唐河,研究生,浙江省温州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15468.htm,人民网
﻿鲁俊,女,1968年05月,浙江常山,研究生,浙江省嘉兴市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4286.htm,人民网
﻿胡海峰,男,,,,浙江省嘉兴市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15556.htm,人民网
﻿陈伟俊,男,1966年06月,浙江宁海,研究生,浙江省湖州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4999.htm,人民网
﻿钱三雄,男,1967年11月,浙江绍兴,学士,浙江省湖州市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage6792.htm,人民网
﻿彭佳学,男,1965年05月,安徽潜山,研究生,浙江省绍兴市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15127.htm,人民网
﻿马卫光,男,1962年10月,浙江绍兴,硕士,浙江省绍兴市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage12442.htm,人民网
﻿赵光君,男,1963年06月,吉林九台,研究生,浙江省金华市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15477.htm,人民网
﻿暨军民,男,1964年02月,浙江临安,研究生,浙江省金华市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4293.htm,人民网
﻿陈新,男,1970年09月,河北易县,研究生,浙江省衢州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4294.htm,人民网
﻿徐文光,男,1968年10月,浙江诸暨,硕士,浙江省衢州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage6749.htm,人民网
﻿俞东来,男,1963年10月,浙江杭州,,浙江省舟山市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6747.htm,人民网
﻿温暖,男,1971年03月,浙江温州,研究生,浙江省舟山市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15424.htm,人民网
﻿王昌荣,男,1962年12月,浙江松阳,研究生,浙江省台州市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15463.htm,人民网
﻿张兵,男,1966年04月,山东宁阳,研究生,浙江省台州市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4299.htm,人民网
﻿史济锡,男,1961年12月,上海,硕士,浙江省丽水市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15478.htm,人民网
﻿朱晨,男,1963年06月,浙江永康,研究生,浙江省丽水市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15140.htm,人民网
﻿李锦斌,男,1958年02月,四川成都,博士,安徽省委书记、省人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage6129.htm,人民网
﻿李国英,男,1963年12月,河南禹州,博士,安徽省委副书记，省长,http://ldzl.people.com.cn/dfzlk/front/personPage15012.htm,人民网
﻿徐立全,男,1956年02月,安徽合肥,硕士,安徽省政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage6130.htm,人民网
﻿信长星,男,1963年12月,山东惠民,硕士,安徽省委副书记,http://ldzl.people.com.cn/dfzlk/front/personPage16165.htm,人民网
﻿唐承沛,男,1964年09月,安徽桐城,博士,安徽省委常委、省委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage6133.htm,人民网
﻿邓向阳,男,1961年06月,山东荣成,学士,安徽省委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage6138.htm,人民网
﻿刘惠,男,1966年09月,湖南澧县,博士,安徽省委常委、省纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15507.htm,人民网
﻿刘莉,女,1959年12月,安徽六安,学士,安徽省委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage15563.htm,人民网
﻿孙云飞,男,1962年08月,安徽明光,硕士,安徽省委常委、六安市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4328.htm,人民网
﻿姚玉舟,男,1960年03月,安徽枞阳,博士,安徽省委常委、省委政法委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4326.htm,人民网
﻿虞爱华,男,1965年09月,安徽天长,学士,安徽省委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage4316.htm,人民网
﻿宋国权,男,1960年03月,安徽太和,学士,安徽省委常委、合肥市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4314.htm,人民网
﻿谢广祥,男,1958年07月,安徽金寨,博士,安徽省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6139.htm,人民网
﻿方春明,男,1964年05月,安徽枞阳,硕士,安徽省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage6143.htm,人民网
﻿周春雨,男,1968年07月,安徽天长,研究生,安徽省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage4306.htm,人民网
﻿张曙光,男,1966年09月,安徽涡阳,研究生,安徽省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage4324.htm,人民网
﻿凌云,女,1964年07月,安徽肥东,硕士,安徽省合肥市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16006.htm,人民网
﻿于勇,男,1960年05月,安徽涡阳,学士,安徽省蚌埠市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4322.htm,人民网
﻿王诚,男,1965年03月,安徽淮南,研究生,安徽省蚌埠市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16266.htm,人民网
﻿沈强,男,1961年06月,安徽宿州,学士,安徽省淮南市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4331.htm,人民网
﻿王宏,女,1970年05月,安徽当涂,博士,安徽省淮南市市长,http://ldzl.people.com.cn/dfzlk/front/personPage4309.htm,人民网
﻿魏尧,男,1963年12月,安徽巢湖,硕士,安徽省马鞍山市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4311.htm,人民网
﻿左俊,男,1964年05月,安徽颍上,硕士,安徽省马鞍山市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16007.htm,人民网
﻿黄晓武,男,1965年02月,安徽怀宁,硕士,安徽省淮北市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4313.htm,人民网
﻿戴启远,男,1963年04月,安徽五河,研究生,安徽省淮北市市长,http://ldzl.people.com.cn/dfzlk/front/personPage16044.htm,人民网
﻿李猛,男,1967年02月,安徽凤台,硕士,安徽省铜陵市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15833.htm,人民网
﻿倪玉平,男,1961年01月,安徽庐江,本科,安徽省铜陵市市长,http://ldzl.people.com.cn/dfzlk/front/personPage5038.htm,人民网
﻿魏晓明,男,1964年12月,山西武乡,学士,安徽省安庆市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4317.htm,人民网
﻿陈冰冰,男,1962年04月,安徽滁州,研究生,安徽省安庆市市长,http://ldzl.people.com.cn/dfzlk/front/personPage15595.htm,人民网
﻿任泽锋,男,1966年10月,内蒙古察哈尔右翼中旗,博士,安徽省黄山市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4319.htm,人民网
﻿孔晓宏,男,1966年07月,安徽庐江,硕士,安徽省黄山市市长,http://ldzl.people.com.cn/dfzlk/front/personPage12221.htm,人民网
