姓名,性别,出生年月,籍贯,学历|学位,领导级别,链接,信息来源
﻿李鸿忠,男,1956年08月,山东昌乐,学士,天津市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4929.htm,人民网
﻿肖怀远,男,1953年06月,陕西西安,硕士,天津市人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage4884.htm,人民网
﻿王东峰,男,1958年02月,陕西西安,硕士,天津市委副书记，市长,http://ldzl.people.com.cn/dfzlk/front/personPage5388.htm,人民网
﻿臧献甫,男,1954年12月,河南舞阳,硕士,天津市政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage5401.htm,人民网
﻿怀进鹏,男,1962年12月,黑龙江哈尔滨,博士,天津市委副书记,http://ldzl.people.com.cn/dfzlk/front/personPage16268.htm,人民网
﻿段春华,男,1959年10月,河北容城,博士,天津市委常委，常务副市长,http://ldzl.people.com.cn/dfzlk/front/personPage5407.htm,人民网
﻿成其圣,男,1963年09月,江苏泰兴,博士,天津市委常委、市委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage5410.htm,人民网
﻿王宏江,男,1965年09月,天津,博士,天津市委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage5418.htm,人民网
﻿陈浙闽,男,1961年06月,浙江温州,硕士,天津市委常委、教育工委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12146.htm,人民网
﻿邓修明,男,1964年12月,四川蓬溪,博士,天津市委常委、市纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16260.htm,人民网
﻿张玉卓,男,1962年01月,山东寿光,博士,天津市委常委、滨海新区区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16595.htm,人民网
﻿盛茂林,男,1960年01月,湖北黄石,本科,天津市委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage5462.htm,人民网
﻿程丽华,女,1965年04月,河南固始,研究生,天津市委常委,http://ldzl.people.com.cn/dfzlk/front/personPage6676.htm,人民网
﻿赵飞,男,1964年01月,湖北沙洋,,天津市委常委、副市长，市公安局局长,http://ldzl.people.com.cn/dfzlk/front/personPage15562.htm,人民网
﻿曹小红,女,1961年05月,吉林乾安,博士,天津市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage5414.htm,人民网
﻿何树山,男,1964年03月,山东新泰,博士,天津市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage5422.htm,人民网
﻿阎庆民,男,1961年05月,山西天镇,博士,天津市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage11819.htm,人民网
﻿孙文魁,男,1962年06月,天津,研究生,天津市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage5424.htm,人民网
﻿赵海山,男,1962年10月,河北深州,博士,天津市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage15362.htm,人民网
﻿李树起,男,1962年08月,天津,硕士,天津市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage4077.htm,人民网
﻿李绍洪,男,1963年10月,天津,博士,天津市和平区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16361.htm,人民网
﻿彭三,男,1966年08月,云南大理,博士,天津市和平区区长,http://ldzl.people.com.cn/dfzlk/front/personPage4056.htm,人民网
﻿李连庆,男,1968年07月,河北沧县,学士,天津市河东区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15121.htm,人民网
﻿王亚明,男,1960年01月,山东章丘,硕士,天津市河东区区长,http://ldzl.people.com.cn/dfzlk/front/personPage11991.htm,人民网
﻿贾凤山,男,1960年10月,天津,硕士,天津市河西区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4071.htm,人民网
﻿李学义,男,1964年05月,天津,,天津市河西区区长,http://ldzl.people.com.cn/dfzlk/front/personPage16381.htm,人民网
﻿姚来英,男,1966年12月,河北任丘,硕士,天津市南开区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16279.htm,人民网
﻿冯卫华,男,1965年02月,天津,学士,天津市南开区区长,http://ldzl.people.com.cn/dfzlk/front/personPage16392.htm,人民网
﻿孙宝华,男,1962年11月,天津宝坻,研究生,天津市河北区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4051.htm,人民网
﻿刘志强,男,1971年05月,河北,研究生,天津市河北区区长,http://ldzl.people.com.cn/dfzlk/front/personPage5018.htm,人民网
﻿曲孝丽,女,1963年09月,山东昌邑,博士,天津市红桥区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16281.htm,人民网
﻿梁永岑,男,1968年12月,辽宁辽阳,,天津市红桥区区长,http://ldzl.people.com.cn/dfzlk/front/personPage16125.htm,人民网
﻿尚斌义,男,1965年10月,山东沾化,博士,天津市东丽区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4062.htm,人民网
﻿孔德昌,男,1970年08月,山东汶上,博士,天津市东丽区区长,http://ldzl.people.com.cn/dfzlk/front/personPage16329.htm,人民网
﻿李清,女,1965年03月,河北丰宁,,天津市西青区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16282.htm,人民网
﻿陈绍旺,男,1971年02月,天津,博士,天津市西青区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15405.htm,人民网
﻿赵仲华,男,1960年03月,上海,博士,天津市津南区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4068.htm,人民网
﻿刘惠,女,1968年10月,河北黄骅,,天津市津南区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15596.htm,人民网
﻿杨茂荣,男,1962年05月,天津,研究生,天津市北辰区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12145.htm,人民网
﻿吕毅,男,1965年05月,天津,博士,天津市北辰区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15849.htm,人民网
﻿王小宁,男,1962年03月,,学士,天津市武清区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12044.htm,人民网
﻿杨令生,男,1960年02月,天津,研究生,天津市武清区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15460.htm,人民网
﻿孟庆松,男,1967年04月,山东,博士,天津市宝坻区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16000.htm,人民网
﻿李建成,男,1967年06月,天津,硕士,天津市宝坻区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15451.htm,人民网
﻿张勇,男,1965年12月,河北南皮,博士,天津市滨海新区区长,http://ldzl.people.com.cn/dfzlk/front/personPage4069.htm,人民网
﻿罗福来,男,1968年10月,天津,研究生,天津市宁河区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4070.htm,人民网
﻿夏新,男,1963年11月,河南新乡,硕士,天津市宁河区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15576.htm,人民网
﻿冀国强,男,1965年11月,河南汝南,硕士,天津市静海区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4075.htm,人民网
﻿蔺雪峰,男,1966年02月,河北大城,博士,天津市静海区区长,http://ldzl.people.com.cn/dfzlk/front/personPage12106.htm,人民网
﻿于立军,男,1967年08月,辽宁建平,硕士,天津市蓟州区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16280.htm,人民网
﻿王洪海,男,1964年08月,天津,硕士,天津市蓟州区区长,http://ldzl.people.com.cn/dfzlk/front/personPage12075.htm,人民网
﻿赵克志,男,1953年12月,山东莱西,硕士,河北省委书记，省人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage4952.htm,人民网
﻿许勤,男,1961年10月,江苏连云港,博士,河北省委副书记、代省长,http://ldzl.people.com.cn/dfzlk/front/personPage4509.htm,人民网
﻿付志方,男,1956年10月,河南南阳,硕士,河北省政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4887.htm,人民网
﻿李干杰,男,1964年11月,湖南望城,硕士,河北省委副书记,http://ldzl.people.com.cn/dfzlk/front/personPage16203.htm,人民网
﻿田向利,女,1963年03月,河北邢台,博士,河北省委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage4085.htm,人民网
﻿梁田庚,男,1960年05月,广东茂名,博士,河北省委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage6458.htm,人民网
﻿袁桐利,男,1961年08月,天津武清,研究生,河北省委常委、副省长,http://ldzl.people.com.cn/dfzlk/front/personPage4079.htm,人民网
﻿梁惠玲,女,1962年08月,湖北宜城,研究生,河北省委常委、省纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6256.htm,人民网
﻿焦彦龙,男,1960年09月,河北平山,硕士,河北省委常委、唐山市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4097.htm,人民网
﻿董仚生,男,1962年02月,江西宜丰,学士,河北省委常委、政法委书记，省公安厅厅长,http://ldzl.people.com.cn/dfzlk/front/personPage11019.htm,人民网
﻿邢国辉,男,1961年03月,河北正定,硕士,河北省委常委、石家庄市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4093.htm,人民网
﻿商黎光,男,1963年11月,河北巨鹿,硕士,河北省委常委、省委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage4086.htm,人民网
﻿高志立,男,1962年10月,河北邯郸,硕士,河北省委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage16242.htm,人民网
﻿沈小平,男,1957年07月,黑龙江哈尔滨,硕士,河北省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage5455.htm,人民网
﻿王晓东,男,1959年05月,山东无棣,学士,河北省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage4099.htm,人民网
﻿张古江,男,1963年03月,天津,硕士,河北省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage5978.htm,人民网
﻿徐建培,男,1960年08月,江苏大丰,博士,河北省副省长,http://ldzl.people.com.cn/dfzlk/front/personPage16606.htm,人民网
﻿李谦,男,1960年03月,河北晋州,研究生,河北省副省长、衡水市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4101.htm,人民网
﻿邓沛然,男,1963年07月,河北献县,博士,河北省石家庄市代市长,http://ldzl.people.com.cn/dfzlk/front/personPage16371.htm,人民网
﻿丁绣峰,男,1965年03月,河北平乡,硕士,河北省唐山市市长,http://ldzl.people.com.cn/dfzlk/front/personPage14476.htm,人民网
﻿孟祥伟,男,1966年06月,河北赵县,博士,河北省秦皇岛市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4090.htm,人民网
